Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 19:58:54.122,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,"Torque_Command=0.0 Nm, Speed_Command=0 rpm, Direction_Command=1 Bit, Inverter_Enable=0 Bit, Inverter_Discharge=0 Bit, Speed_Mode_Enable=0 Bit, RollingCounter=0 Bits, Torque_Limit_Command=0.0 Nm"
2025-06-07 19:58:54.129,4,4,FC 0F 67 0A 00 00 00 00,APPS_Info,"APPS0=4092, APPS1=2663, APPS_Pct=0, Torque_Cmd=0"
2025-06-07 19:58:54.141,5,5,90 01 00 00 00 06 00 00,Sensors_Info,"BPS_Raw=400, Water1_Temp_C=0, Water2_Temp_C=0, Water3_Temp_C=0, R2D_Button=0, Prog_Button_1=1, Prog_Button_2=1, Brake_Press_Bool=0"
2025-06-07 19:58:54.149,B0,176,00 00 00 00 00 00 8D 0D,M176_Fast_Info,"Fast_Torque_Command=0.0 Nm, Fast_Torque_Feedback=0.0 Nm, Fast_Motor_Speed=0 rpm, Fast_DC_Bus_Voltage=346.9 V"
2025-06-07 19:58:54.158,6,6,00 00 83 00 52 03 00 00,Internal_States,"PowerDraw_kW=0, LV_Voltage_ADC=131, Batt_SOC=82, InitFinished=1, PrechargeComplete=1, R2D_Active=0, Drive_Mode=0, Regen_Enabled=0"
2025-06-07 19:58:54.169,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,"APPS_BRAKE_AND_ACCEL=0, APPS_PEDAL_IMPLAUSIBILITY=0, APPS_PEDAL_DISCONNECTED=0, BPS_LOW_PRESSURE=0, OVER_POWER=0, OVER_CURRENT=0, CRITICAL_FAULT=0, ANY_FAULT=0, COOLANT_OVER_TEMP=0, ECU_FAULT=0"
2025-06-07 19:58:54.196,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,"Fault32_MotorOvrSpd=0, Fault33_OvrCurr=0, Fault34_OvrVolt=0, Fault35_InvOvrTemp=0, Fault36_AccInputShorted=0, Fault37_AccInputOpn=0, Fault38_DirectionCommand=0, Fault39_InvResponseTimeOut=0, Fault40_HW_Gate_DeSat=0, Fault41_HardwareOvrCurrent=0, Fault42_UnderVolt=0, Fault43_CANCmdMsgLost=0, Fault44_MotorOvrTemp=0, Fault48_BrakeInputShorted=0, Fault49_BrakeInputOpn=0, Fault50_ModuleA_OvrTemp=0, Fault51_ModuleB_OvrTemp=0, Fault52_ModuleC_OvrTemp=0, Fault53_PCB_OvrTemp=0, Fault54_GateDriveBoard1_OvrTemp=0, Fault55_GateDriveBoard2_OvrTemp=0, Fault56_GateDriveBoard3_OvrTemp=0, Fault57_CurrentSensor=0, Fault59_HardwareDCBus_OvrVolt=0, Fault62_Resolver_NotConn=0, ANY_MC_FAULT=0"
2025-06-07 19:58:54.202,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,"D1_Post_Fault_Lo=0, D2_Post_Fault_Hi=0, D3_Run_Fault_Lo=0, D4_Run_Fault_Hi=0"
2025-06-07 19:58:54.211,A6,166,06 00 04 00 08 00 00 00,M166_Current_Info,"D1_Phase_A_Current=0.6 A, D2_Phase_B_Current=0.4 A, D3_Phase_C_Current=0.8 A, D4_DC_Bus_Current=0.0 A"
2025-06-07 19:58:54.219,B0,176,00 00 00 00 00 00 8A 0D,M176_Fast_Info,"Fast_Torque_Command=0.0 Nm, Fast_Torque_Feedback=0.0 Nm, Fast_Motor_Speed=0 rpm, Fast_DC_Bus_Voltage=346.6 V"
2025-06-07 19:58:54.230,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,"Torque_Command=0.0 Nm, Speed_Command=0 rpm, Direction_Command=1 Bit, Inverter_Enable=0 Bit, Inverter_Discharge=0 Bit, Speed_Mode_Enable=0 Bit, RollingCounter=0 Bits, Torque_Limit_Command=0.0 Nm"
2025-06-07 19:58:54.237,4,4,FC 0F 67 0A 00 00 00 00,APPS_Info,"APPS0=4092, APPS1=2663, APPS_Pct=0, Torque_Cmd=0"
2025-06-07 19:58:54.246,5,5,90 01 00 00 00 06 00 00,Sensors_Info,"BPS_Raw=400, Water1_Temp_C=0, Water2_Temp_C=0, Water3_Temp_C=0, R2D_Button=0, Prog_Button_1=1, Prog_Button_2=1, Brake_Press_Bool=0"
2025-06-07 19:58:54.256,6,6,00 00 83 00 52 03 00 00,Internal_States,"PowerDraw_kW=0, LV_Voltage_ADC=131, Batt_SOC=82, InitFinished=1, PrechargeComplete=1, R2D_Active=0, Drive_Mode=0, Regen_Enabled=0"
2025-06-07 19:58:54.270,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,"APPS_BRAKE_AND_ACCEL=0, APPS_PEDAL_IMPLAUSIBILITY=0, APPS_PEDAL_DISCONNECTED=0, BPS_LOW_PRESSURE=0, OVER_POWER=0, OVER_CURRENT=0, CRITICAL_FAULT=0, ANY_FAULT=0, COOLANT_OVER_TEMP=0, ECU_FAULT=0"
